Normalised City Pair,Departure Code,Arrival Code,Departure_lat,Departure_lon,Arrival_lat,Arrival_lon,lat_1,lat_2,lon_1,lon_2,lat_1_radians,lat_2_radians,lon_1_radians,lon_2_radians,distance (miles),distance (Km)
"London, United Kingdom - New York, United States Of America",LHR,JFK,51.5,-0.45,40.64,-73.79,51.5,40.64,-0.45,-73.79,0.898844243,0.709301554,-0.007853979,-1.287877995,3446,5546
"Johannesburg, South Africa - London, United Kingdom",JNB,LHR,-26.1,28.23,51.47,-0.45,-26.1,51.47,28.23,-0.45,-0.455530772,0.898320645,0.492706272,-0.007853979,5642,9080
"London, United Kingdom - New York, United States Of America",LHR,JFK,51.5,-0.45,40.64,-73.79,51.5,40.64,-0.45,-73.79,0.898844243,0.709301554,-0.007853979,-1.287877995,3446,5546
"Johannesburg, South Africa - London, United Kingdom",JNB,LHR,-26.1,28.23,51.47,-0.45,-26.1,51.47,28.23,-0.45,-0.455530772,0.898320645,0.492706272,-0.007853979,5642,9080
"London, United Kingdom - Singapore, Singapore",SIN,LHR,1.3,103.98,51.47,-0.45,1.3,51.47,103.98,-0.45,0.022689272,0.898320645,1.814792707,-0.007853979,6771,10898
"London, United Kingdom - New York, United States Of America",JFK,LCY,40.6,-73.79,51.5,0.05,40.6,51.5,-73.79,0.05,0.708603423,0.898844243,-1.287877995,0.000872664,3468,5582
"London, United Kingdom - New York, United States Of America",LCY,JFK,51.5,0.05,40.64,-73.79,51.5,40.64,0.05,-73.79,0.898844243,0.709301554,0.000872664,-1.287877995,3467,5579
"London, United Kingdom - Newark, United States Of America",EWR,LHR,40.7,-74.18,51.47,-0.45,40.7,51.47,-74.18,-0.45,0.710348752,0.898320645,-1.294684776,-0.007853979,3460,5569
"Bombay, India - London, United Kingdom",LHR,BOM,51.5,-0.45,19.09,72.86,51.5,19.09,-0.45,72.86,0.898844243,0.333183235,-0.007853979,1.271646438,4486,7219
"Dubai, United Arab Emirates - London, United Kingdom",DXB,LHR,25.3,55.35,51.47,-0.45,25.3,51.47,55.35,-0.45,0.441568143,0.898320645,0.966039396,-0.007853979,3416,5498
"Delhi, India - London, United Kingdom",DEL,LHR,28.7,77.26,51.47,-0.45,28.7,51.47,77.26,-0.45,0.500909316,0.898320645,1.348440898,-0.007853979,4187,6738
"New York, United States Of America - San Francisco, United States Of America",JFK,SFO,40.6,-73.79,37.61,-122.39,40.6,37.61,-73.79,-122.39,0.708603423,0.656418097,-1.287877995,-2.136107708,2584,4158
"London, United Kingdom - Newark, United States Of America",EWR,LHR,40.7,-74.18,51.47,-0.45,40.7,51.47,-74.18,-0.45,0.710348752,0.898320645,-1.294684776,-0.007853979,3460,5569
"Hong Kong, Hong Kong - London, United Kingdom",LHR,HKG,51.5,-0.45,22.32,113.94,51.5,22.32,-0.45,113.94,0.898844243,0.38955735,-0.007853979,1.988627439,5989,9639
"Los Angeles, United States Of America - New York, United States Of America",JFK,LAX,40.6,-73.79,34.05,-118.24,40.6,34.05,-73.79,-118.24,0.708603423,0.594284398,-1.287877995,-2.06367657,2460,3959
"Cape Town, South Africa - Johannesburg, South Africa",JNB,CPT,-26.1,28.23,-33.97,18.59,-26.1,-33.97,28.23,18.59,-0.455530772,-0.592888135,0.492706272,0.324456592,793,1276
